file_id	input_path	n_cells_in	n_points_in	status	notes
KR10-10_leg2_bathymetry_dmo::20100821.dat	derived/file_cells_1min/KR10-10_leg2_bathymetry_dmo__20100821.parquet	326	2612605	ok	
KY07-11_bathymetry_dmo::20070831.dat	derived/file_cells_1min/KY07-11_bathymetry_dmo__20070831.parquet	89	260661	ok	
KR05-17_bathymetry_dmo::20051222.dat	derived/file_cells_1min/KR05-17_bathymetry_dmo__20051222.parquet	656	393008	ok	
KR13-08_bathymetry_dmo::20130506.dat	derived/file_cells_1min/KR13-08_bathymetry_dmo__20130506.parquet	495	231825	ok	
KR03-01_bathymetry_dmo::20030114.dat	derived/file_cells_1min/KR03-01_bathymetry_dmo__20030114.parquet	1584	329321	ok	
KY05-08_bathymetry_dmo::20050808.dat	derived/file_cells_1min/KY05-08_bathymetry_dmo__20050808.parquet	213	401252	ok	
MR03-K03_leg2_bathymetry_dmo::20030721.dat	derived/file_cells_1min/MR03-K03_leg2_bathymetry_dmo__20030721.parquet	2507	768941	ok	
MR04-08_leg1_bathymetry_dmo::20041219.dat	derived/file_cells_1min/MR04-08_leg1_bathymetry_dmo__20041219.parquet	194	875435	ok	
KY10-13_bathymetry_dmo::20101109.dat	derived/file_cells_1min/KY10-13_bathymetry_dmo__20101109.parquet	729	345425	ok	
KR11-04_leg1_bathymetry_dmo::20110220.dat	derived/file_cells_1min/KR11-04_leg1_bathymetry_dmo__20110220.parquet	60	13897	ok	
KY01-02_leg1_bathymetry_dmo::20010416.dat	derived/file_cells_1min/KY01-02_leg1_bathymetry_dmo__20010416.parquet	991	247400	ok	
KY08-08_bathymetry_dmo::20080817.dat	derived/file_cells_1min/KY08-08_bathymetry_dmo__20080817.parquet	42	274111	ok	
KY01-02_leg1_bathymetry_dmo::20010414.dat	derived/file_cells_1min/KY01-02_leg1_bathymetry_dmo__20010414.parquet	986	336212	ok	
MR05-04_bathymetry_dmo::20050915.dat	derived/file_cells_1min/MR05-04_bathymetry_dmo__20050915.parquet	2050	514580	ok	
MR02-K04_leg2_bathymetry_dmo::20020813.dat	derived/file_cells_1min/MR02-K04_leg2_bathymetry_dmo__20020813.parquet	2639	564485	ok	
KY00-05_bathymetry_dmo::20000725.dat	derived/file_cells_1min/KY00-05_bathymetry_dmo__20000725.parquet	208	1794973	ok	
KY12-09_bathymetry_dmo::20120715.dat	derived/file_cells_1min/KY12-09_bathymetry_dmo__20120715.parquet	22	33435	ok	
KY15-15_bathymetry_dmo::T20151004.dat	derived/file_cells_1min/KY15-15_bathymetry_dmo__T20151004.parquet	33	96847	ok	
KR04-04_bathymetry_dmo::20040416.dat	derived/file_cells_1min/KR04-04_bathymetry_dmo__20040416.parquet	377	1797645	ok	
KY13-13_bathymetry_dmo::T20130922.dat	derived/file_cells_1min/KY13-13_bathymetry_dmo__T20130922.parquet	122	320999	ok	
KY02-01_bathymetry_dmo::20020120.dat	derived/file_cells_1min/KY02-01_bathymetry_dmo__20020120.parquet	245	940783	ok	
MR06-05_leg2_bathymetry_dmo::20061130.dat	derived/file_cells_1min/MR06-05_leg2_bathymetry_dmo__20061130.parquet	1411	718223	ok	
KR02-13_bathymetry_dmo::20021020.dat	derived/file_cells_1min/KR02-13_bathymetry_dmo__20021020.parquet	1565	192937	ok	
MR02-K04_leg2_bathymetry_dmo::20020727.dat	derived/file_cells_1min/MR02-K04_leg2_bathymetry_dmo__20020727.parquet	1271	949593	ok	
KY03-01_leg1_bathymetry_dmo::20030121.dat	derived/file_cells_1min/KY03-01_leg1_bathymetry_dmo__20030121.parquet	312	975089	ok	
MR06-05_leg1_bathymetry_dmo::20061102.dat	derived/file_cells_1min/MR06-05_leg1_bathymetry_dmo__20061102.parquet	171	651727	ok	
KY05-02_bathymetry_dmo::20050216.dat	derived/file_cells_1min/KY05-02_bathymetry_dmo__20050216.parquet	298	356225	ok	
MR01-K04_leg2_bathymetry_dmo::20010910.dat	derived/file_cells_1min/MR01-K04_leg2_bathymetry_dmo__20010910.parquet	1263	345778	ok	
KY08-03_leg1_bathymetry_dmo::20080404.dat	derived/file_cells_1min/KY08-03_leg1_bathymetry_dmo__20080404.parquet	11	115590	ok	
KR11-03_bathymetry_dmo::T20110217.dat	derived/file_cells_1min/KR11-03_bathymetry_dmo__T20110217.parquet	1435	809950	ok	
KY07-01_bathymetry_dmo::20070110.dat	derived/file_cells_1min/KY07-01_bathymetry_dmo__20070110.parquet	206	138765	ok	
KY12-01_leg1_bathymetry_dmo::20120117.dat	derived/file_cells_1min/KY12-01_leg1_bathymetry_dmo__20120117.parquet	84	76673	ok	
KR02-08_leg1_bathymetry_dmo::20020622.dat	derived/file_cells_1min/KR02-08_leg1_bathymetry_dmo__20020622.parquet	199	79800	ok	
KY05-07_bathymetry_dmo::20050713.dat	derived/file_cells_1min/KY05-07_bathymetry_dmo__20050713.parquet	299	727047	ok	
MR05-03_leg2_bathymetry_dmo::20050814.dat	derived/file_cells_1min/MR05-03_leg2_bathymetry_dmo__20050814.parquet	1873	641581	ok	
KY07-07_bathymetry_dmo::20070517.dat	derived/file_cells_1min/KY07-07_bathymetry_dmo__20070517.parquet	171	652388	ok	
MR04-03_leg1_bathymetry_dmo::20040618.dat	derived/file_cells_1min/MR04-03_leg1_bathymetry_dmo__20040618.parquet	162	722530	ok	
KR16-01_leg2_bathymetry_dmo::KR16-01_leg2.dat	derived/file_cells_1min/KR16-01_leg2_bathymetry_dmo__KR16-01_leg2.parquet	2720	487316	ok	
MR06-01_bathymetry_dmo::20060220.dat	derived/file_cells_1min/MR06-01_bathymetry_dmo__20060220.parquet	86	1133557	ok	
MR06-03_leg2_bathymetry_dmo::20060715.dat	derived/file_cells_1min/MR06-03_leg2_bathymetry_dmo__20060715.parquet	216	578031	ok	
KM20-02_leg2_bathymetry_dmo::KM20-02_leg2_t.dat	derived/file_cells_1min/KM20-02_leg2_bathymetry_dmo__KM20-02_leg2_t.parquet	3101	747019	ok	
KY11-02_leg1_bathymetry_dmo::T20110131.dat	derived/file_cells_1min/KY11-02_leg1_bathymetry_dmo__T20110131.parquet	758	672961	ok	
MR00-K08_bathymetry_dmo::20010118.dat	derived/file_cells_1min/MR00-K08_bathymetry_dmo__20010118.parquet	2231	473980	ok	
KY04-09_bathymetry_dmo::20040814.dat	derived/file_cells_1min/KY04-09_bathymetry_dmo__20040814.parquet	12	27772	ok	
MR06-05_leg3_bathymetry_dmo::20070101.dat	derived/file_cells_1min/MR06-05_leg3_bathymetry_dmo__20070101.parquet	84	778873	ok	
MR01-K03_bathymetry_dmo::20010608.dat	derived/file_cells_1min/MR01-K03_bathymetry_dmo__20010608.parquet	141	220712	ok	
KY14-E02_leg2_bathymetry_dmo::20141018.dat	derived/file_cells_1min/KY14-E02_leg2_bathymetry_dmo__20141018.parquet	298	276344	ok	
KY03-08_bathymetry_dmo::20030813.dat	derived/file_cells_1min/KY03-08_bathymetry_dmo__20030813.parquet	8	29071	ok	
KR12-01_bathymetry_dmo::20120114.dat	derived/file_cells_1min/KR12-01_bathymetry_dmo__20120114.parquet	250	347615	ok	
KY07-15_bathymetry_dmo::20071221.dat	derived/file_cells_1min/KY07-15_bathymetry_dmo__20071221.parquet	79	213974	ok	
