file_id	subzip_id	relative_path	filename	ext	size_bytes	line_count	col_count	is_ascii	has_header	lon_min	lon_max	lat_min	lat_max	depth_min	depth_max	depth_sign	status	notes	first_lines	used_for_points	data_layout	lon_col	lat_col	depth_col	date_col	time_col	sonar_idx_col	cruise_id_guess	date_guess	track_kind	file_role	include_in_points_raw	exclude_reason	duplicate_group_id	duplicate_candidate
MR01-K04_leg1_bathymetry_dmo::20010730.dat	MR01-K04_leg1_bathymetry_dmo	MR01-K04_leg1_bathymetry_dmo/20010730.dat	20010730.dat	.dat	20031231	607007.0	3.0	True	False	-180.020252	179.520222	38.968682	39.741437	3747.0	5627.3	positive	invalid_lonlat_range	col_range: c1=[-180.02,179.52] c2=[38.97,39.74] c3=[3747.00,5627.30]; col1/col2 outside lon/lat bounds	 173.575747  39.736181  4774.900 | 173.575332  39.734434  4777.900 | 173.574934  39.732761  4774.600 | 173.574522  39.731030  4769.600 | 173.574132  39.729392  4766.300	False	unknown_or_non_bathymetry							MR01-K04	20010730	unknown_or_survey	nonstandard_or_invalid	False	used_for_points_false	355	False
MR07-06_leg1_bathymetry_pi::grid_p14.dat	MR07-06_leg1_bathymetry_pi	MR07-06_leg1_bathymetry_pi/grid_p14.dat	grid_p14.dat	.dat	54548624	2098024.0	3.0	True	False	-35.6375	59.0025	175.0275	186.01	124.5	7464.2	positive	invalid_lonlat_range	col_range: c1=[-35.64,59.00] c2=[175.03,186.01] c3=[124.50,7464.20]; col1/col2 outside lon/lat bounds	-35.6375 175.0350   222.9 | -35.6350 175.0275   219.1 | -35.6350 175.0300   221.3 | -35.6350 175.0325   223.8 | -35.6350 175.0350   224.2	False	unknown_or_non_bathymetry							MR07-06		unknown_or_survey	auxiliary_grid	False	used_for_points_false	5102	True
MR07-06_leg1_bathymetry_pi::grid_p01.dat	MR07-06_leg1_bathymetry_pi	MR07-06_leg1_bathymetry_pi/grid_p01.dat	grid_p01.dat	.dat	43933968	1689768.0	3.0	True	False	39.655	47.095	145.4525	235.0475	98.4	7281.5	positive	invalid_lonlat_range	col_range: c1=[39.66,47.09] c2=[145.45,235.05] c3=[98.40,7281.50]; col1/col2 outside lon/lat bounds	 42.9700 145.4525   100.5 | 42.9725 145.4525    98.8 | 42.9675 145.4550   101.2 | 42.9700 145.4550   100.3 | 42.9725 145.4550    98.8	False	unknown_or_non_bathymetry							MR07-06		unknown_or_survey	auxiliary_grid	False	used_for_points_false	5099	True
MR07-06_leg1_bathymetry_pi::dist_p01.dat	MR07-06_leg1_bathymetry_pi	MR07-06_leg1_bathymetry_pi/dist_p01.dat	dist_p01.dat	.dat	4446	117.0	4.0	True	False	0.0	7405.2	39.6945	47.0267	-179.4295	179.4483	mixed	invalid_lonlat_range	col_range: c1=[0.00,7405.20] c2=[39.69,47.03] c3=[-179.43,179.45]; col1/col2 outside lon/lat bounds	    0.0  42.9715  145.4543    P01_1_1 | 10.5  42.8893  145.5183    P01_2_1 | 14.7  42.8552  145.5408    P01_3_1 | 20.8  42.8142  145.5897    P01_4_1 | 41.5  42.6440  145.6927    P01_5_1	False	unknown_or_non_bathymetry							MR07-06		unknown_or_survey	auxiliary_dist	False	used_for_points_false	5093	True
MR07-06_leg1_bathymetry_pi::track_p14.dat	MR07-06_leg1_bathymetry_pi	MR07-06_leg1_bathymetry_pi/track_p14.dat	track_p14.dat	.dat	348285	9951.0	4.0	True	False	0.0	10701.0	-35.6343	58.9938	-179.9969	179.9975	mixed	invalid_lonlat_range	col_range: c1=[0.00,10701.00] c2=[-35.63,58.99] c3=[-180.00,180.00]; col1/col2 outside lon/lat bounds	    0.0 -35.6343  175.0345   224.0 | 1.0 -35.6254  175.0363   235.5 | 2.0 -35.6165  175.0381   245.2 | 3.0 -35.6076  175.0399   254.2 | 4.0 -35.5987  175.0416   262.6	False	unknown_or_non_bathymetry							MR07-06		unknown_or_survey	auxiliary_track	False	used_for_points_false	5109	True
MR07-06_leg1_bathymetry_pi::track_p01.dat	MR07-06_leg1_bathymetry_pi	MR07-06_leg1_bathymetry_pi/track_p01.dat	track_p01.dat	.dat	244475	6985.0	4.0	True	False	0.0	7405.0	39.6972	47.0265	-179.9789	179.9817	mixed	invalid_lonlat_range	col_range: c1=[0.00,7405.00] c2=[39.70,47.03] c3=[-179.98,179.98]; col1/col2 outside lon/lat bounds	    0.0  42.9715  145.4543    99.9 | 1.0  42.9637  145.4604   104.0 | 2.0  42.9559  145.4665   111.9 | 7.0  42.9168  145.4969   159.7 | 8.0  42.9090  145.5030   219.7	False	unknown_or_non_bathymetry							MR07-06		unknown_or_survey	auxiliary_track	False	used_for_points_false	5106	True
MR07-06_leg1_bathymetry_pi::dist_p14.dat	MR07-06_leg1_bathymetry_pi	MR07-06_leg1_bathymetry_pi/dist_p14.dat	dist_p14.dat	.dat	9006	237.0	4.0	True	False	0.0	10702.0	-35.6343	59.0018	-179.9382	179.9085	mixed	invalid_lonlat_range	col_range: c1=[0.00,10702.00] c2=[-35.63,59.00] c3=[-179.94,179.91]; col1/col2 outside lon/lat bounds	    0.0 -35.6343  175.0345   P14C_1_1 | 20.3 -35.4538  175.0707   P14C_2_1 | 45.3 -35.2305  175.1080   P14C_3_1 | 68.9 -35.0205  175.1485   P14C_4_1 | 90.7 -34.8262  175.1848   P14C_5_1	False	unknown_or_non_bathymetry							MR07-06		unknown_or_survey	auxiliary_dist	False	used_for_points_false	5095	True
MR03-K04_leg4_bathymetry_dmo::grid_i04.dat	MR03-K04_leg4_bathymetry_dmo	MR03-K04_leg4_bathymetry_dmo/grid_i04.dat	grid_i04.dat	.dat	7276696	259882.0	3.0	True	False	35.36317	43.88279	-24.72478	-24.59508	123.7	4147.7	positive	ok_xyz_3col		  35.36317 -24.66733  124.5 | 35.36317 -24.66898  125.7 | 35.36317 -24.67062  125.5 | 35.36497 -24.66569  123.7 | 35.36497 -24.66733  124.6	True	lon_lat_depth_3col	0.0	1.0	2.0				MR03-K04		unknown_or_survey	auxiliary_grid	False	auxiliary_grid	5098	True
MR03-K04_leg4_bathymetry_dmo::track_p06.dat	MR03-K04_leg4_bathymetry_dmo	MR03-K04_leg4_bathymetry_dmo/track_p06.dat	track_p06.dat	.dat	450065	12859.0	4.0	True	False	0.0	12903.4	-32.517	-30.006	-179.997	179.992	mixed	invalid_lonlat_range	col_range: c1=[0.00,12903.40] c2=[-32.52,-30.01] c3=[-180.00,179.99]; col1/col2 outside lon/lat bounds	    0.0  -30.095  153.483    92.2 | 1.0  -30.093  153.493    97.7 | 2.0  -30.090  153.503   105.3 | 3.0  -30.088  153.513   114.5 | 4.0  -30.086  153.523   135.8	False	unknown_or_non_bathymetry							MR03-K04		unknown_or_survey	auxiliary_track	False	used_for_points_false	5107	True
MR03-K04_leg4_bathymetry_dmo::grid_p06.dat	MR03-K04_leg4_bathymetry_dmo	MR03-K04_leg4_bathymetry_dmo/grid_p06.dat	grid_p06.dat	.dat	145156646	5763917.0	3.0	True	False	153.47031	288.504	-32.61158	-29.94347	91.2	10108.0	positive	ok_xyz_3col		153.47031 -30.10138 91.2 | 153.47211 -30.09982 92.6 | 153.47211 -30.10138 92.7 | 153.47211 -30.10294 92.5 | 153.47211 -30.10450 91.5	True	lon_lat_depth_3col	0.0	1.0	2.0				MR03-K04		unknown_or_survey	auxiliary_grid	False	auxiliary_grid	5100	True
MR03-K04_leg4_bathymetry_dmo::track_i04.dat	MR03-K04_leg4_bathymetry_dmo	MR03-K04_leg4_bathymetry_dmo/track_i04.dat	track_i04.dat	.dat	30170	862.0	4.0	True	False	0.0	861.0	-24.673	-24.655	35.365	43.869	positive	invalid_lonlat_range	col_range: c1=[0.00,861.00] c2=[-24.67,-24.66] c3=[35.37,43.87]; col1/col2 outside lon/lat bounds	    0.0  -24.667   35.365   124.5 | 1.0  -24.667   35.375   136.5 | 2.0  -24.667   35.385   150.5 | 3.0  -24.667   35.395   164.2 | 4.0  -24.667   35.405   176.7	False	unknown_or_non_bathymetry							MR03-K04		unknown_or_survey	auxiliary_track	False	used_for_points_false	5105	True
MR03-K04_leg4_bathymetry_dmo::grid_a10.dat	MR03-K04_leg4_bathymetry_dmo	MR03-K04_leg4_bathymetry_dmo/grid_a10.dat	grid_a10.dat	.dat	56804816	2282875.0	3.0	True	False	312.603	375.003	-30.27135	-27.72874	160.9	5625.3	positive	invalid_lonlat_range	col_range: c1=[312.60,375.00] c2=[-30.27,-27.73] c3=[160.90,5625.30]; col1/col2 outside lon/lat bounds	312.603 -27.73034 178.6 | 312.603 -27.73194 179.3 | 312.604 -27.72874 178.7 | 312.604 -27.73034 178.9 | 312.604 -27.73194 180.0	False	unknown_or_non_bathymetry							MR03-K04		unknown_or_survey	auxiliary_grid	False	used_for_points_false	5096	True
MR03-K04_leg4_bathymetry_dmo::track_i03.dat	MR03-K04_leg4_bathymetry_dmo	MR03-K04_leg4_bathymetry_dmo/track_i03.dat	track_i03.dat	.dat	237265	6779.0	4.0	True	False	0.0	6851.9	-22.226	-19.975	48.914	113.76	positive	invalid_lonlat_range	col_range: c1=[0.00,6851.90] c2=[-22.23,-19.98] c3=[48.91,113.76]; col1/col2 outside lon/lat bounds	    0.0  -20.004   48.914   233.5 | 1.0  -20.005   48.924   372.2 | 2.0  -20.005   48.933   483.4 | 3.0  -20.006   48.943   594.2 | 4.0  -20.006   48.952   672.3	False	unknown_or_non_bathymetry							MR03-K04		unknown_or_survey	auxiliary_track	False	used_for_points_false	5104	True
MR03-K04_leg4_bathymetry_dmo::grid_i03.dat	MR03-K04_leg4_bathymetry_dmo	MR03-K04_leg4_bathymetry_dmo/grid_i03.dat	grid_i03.dat	.dat	66307556	2368127.0	3.0	True	False	48.91144	113.76225	-22.2359	-19.8376	138.9	6622.9	positive	ok_xyz_3col		  48.91144 -20.00729  266.2 | 48.91144 -20.00899  289.0 | 48.91324 -20.00390  230.5 | 48.91324 -20.00559  243.3 | 48.91324 -20.00729  255.2	True	lon_lat_depth_3col	0.0	1.0	2.0				MR03-K04		unknown_or_survey	auxiliary_grid	False	auxiliary_grid	5097	True
MR03-K04_leg4_bathymetry_dmo::track_a10.dat	MR03-K04_leg4_bathymetry_dmo	MR03-K04_leg4_bathymetry_dmo/track_a10.dat	track_a10.dat	.dat	214235	6121.0	4.0	True	False	0.0	6136.9	-30.216	-27.732	-47.39	15.003	mixed	invalid_lonlat_range	col_range: c1=[0.00,6136.90] c2=[-30.22,-27.73] c3=[-47.39,15.00]; col1/col2 outside lon/lat bounds	    0.0  -27.732  -47.390   181.6 | 1.0  -27.734  -47.380   185.7 | 2.0  -27.736  -47.370   190.5 | 3.0  -27.738  -47.360   195.4 | 4.0  -27.740  -47.350   201.0	False	unknown_or_non_bathymetry							MR03-K04		unknown_or_survey	auxiliary_track	False	used_for_points_false	5103	True
MR05-02_bathymetry_pi::track_p10r.dat	MR05-02_bathymetry_pi	MR05-02_bathymetry_pi/track_p10r.dat	track_p10r.dat	.dat	180302	5303.0	4.0	True	False	0.0	5371.6	-4.015	42.253	143.738	149.363	positive	invalid_lonlat_range	col_range: c1=[0.00,5371.60] c2=[-4.01,42.25] c3=[143.74,149.36]; col1/col2 outside lon/lat bounds	    0.0   -4.015  144.812   236.0 | 1.0   -4.007  144.817   329.0 | 2.0   -4.000  144.822   542.8 | 3.0   -3.992  144.827   671.2 | 4.0   -3.985  144.832   776.8	False	unknown_or_non_bathymetry							MR05-02		unknown_or_survey	auxiliary_track	False	used_for_points_false	5108	False
MR05-02_bathymetry_pi::grid_p10r.dat	MR05-02_bathymetry_pi	MR05-02_bathymetry_pi/grid_p10r.dat	grid_p10r.dat	.dat	53971866	2075841.0	3.0	True	False	143.7274	149.4648	-4.0165	42.2568	235.4	7316.0	positive	ok_xyz_3col		144.8132  -4.0165   237.1 | 144.8150  -4.0165   239.8 | 144.8168  -4.0165   251.7 | 144.8186  -4.0165   269.0 | 144.8096  -4.0147   259.3	True	lon_lat_depth_3col	0.0	1.0	2.0				MR05-02		unknown_or_survey	auxiliary_grid	False	auxiliary_grid	5101	False
MR05-02_bathymetry_pi::dist_p10r.dat	MR05-02_bathymetry_pi	MR05-02_bathymetry_pi/dist_p10r.dat	dist_p10r.dat	.dat	4092	124.0	5.0	True	False	0.0	5371.9	-4.015	42.253	143.738	149.363	positive	invalid_lonlat_range	col_range: c1=[0.00,5371.90] c2=[-4.01,42.25] c3=[143.74,149.36]; col1/col2 outside lon/lat bounds	    0.0   -4.015  144.812 1   1 | 4.5   -3.981  144.834 2   1 | 16.4   -3.889  144.890 3   1 | 50.0   -3.610  145.009 4   1 | 87.2   -3.302  145.145 5   1	False	unknown_or_non_bathymetry							MR05-02		unknown_or_survey	auxiliary_dist	False	used_for_points_false	5094	False
MR03-K04_leg1_bathymetry_dmo::grid_i04.dat	MR03-K04_leg1_bathymetry_dmo	MR03-K04_leg1_bathymetry_dmo/grid_i04.dat	grid_i04.dat	.dat	7276696	259882.0	3.0	True	False	35.36317	43.88279	-24.72478	-24.59508	123.7	4147.7	positive	ok_xyz_3col		  35.36317 -24.66733  124.5 | 35.36317 -24.66898  125.7 | 35.36317 -24.67062  125.5 | 35.36497 -24.66569  123.7 | 35.36497 -24.66733  124.6	True	lon_lat_depth_3col	0.0	1.0	2.0				MR03-K04		unknown_or_survey	auxiliary_grid	False	auxiliary_grid	5098	True
MR03-K04_leg1_bathymetry_dmo::track_p06.dat	MR03-K04_leg1_bathymetry_dmo	MR03-K04_leg1_bathymetry_dmo/track_p06.dat	track_p06.dat	.dat	450065	12859.0	4.0	True	False	0.0	12903.4	-32.517	-30.006	-179.997	179.992	mixed	invalid_lonlat_range	col_range: c1=[0.00,12903.40] c2=[-32.52,-30.01] c3=[-180.00,179.99]; col1/col2 outside lon/lat bounds	    0.0  -30.095  153.483    92.2 | 1.0  -30.093  153.493    97.7 | 2.0  -30.090  153.503   105.3 | 3.0  -30.088  153.513   114.5 | 4.0  -30.086  153.523   135.8	False	unknown_or_non_bathymetry							MR03-K04		unknown_or_survey	auxiliary_track	False	used_for_points_false	5107	True
MR03-K04_leg1_bathymetry_dmo::grid_p06.dat	MR03-K04_leg1_bathymetry_dmo	MR03-K04_leg1_bathymetry_dmo/grid_p06.dat	grid_p06.dat	.dat	145156646	5763917.0	3.0	True	False	153.47031	288.504	-32.61158	-29.94347	91.2	10108.0	positive	ok_xyz_3col		153.47031 -30.10138 91.2 | 153.47211 -30.09982 92.6 | 153.47211 -30.10138 92.7 | 153.47211 -30.10294 92.5 | 153.47211 -30.10450 91.5	True	lon_lat_depth_3col	0.0	1.0	2.0				MR03-K04		unknown_or_survey	auxiliary_grid	False	auxiliary_grid	5100	True
MR03-K04_leg1_bathymetry_dmo::track_i04.dat	MR03-K04_leg1_bathymetry_dmo	MR03-K04_leg1_bathymetry_dmo/track_i04.dat	track_i04.dat	.dat	30170	862.0	4.0	True	False	0.0	861.0	-24.673	-24.655	35.365	43.869	positive	invalid_lonlat_range	col_range: c1=[0.00,861.00] c2=[-24.67,-24.66] c3=[35.37,43.87]; col1/col2 outside lon/lat bounds	    0.0  -24.667   35.365   124.5 | 1.0  -24.667   35.375   136.5 | 2.0  -24.667   35.385   150.5 | 3.0  -24.667   35.395   164.2 | 4.0  -24.667   35.405   176.7	False	unknown_or_non_bathymetry							MR03-K04		unknown_or_survey	auxiliary_track	False	used_for_points_false	5105	True
MR03-K04_leg1_bathymetry_dmo::grid_a10.dat	MR03-K04_leg1_bathymetry_dmo	MR03-K04_leg1_bathymetry_dmo/grid_a10.dat	grid_a10.dat	.dat	56804816	2282875.0	3.0	True	False	312.603	375.003	-30.27135	-27.72874	160.9	5625.3	positive	invalid_lonlat_range	col_range: c1=[312.60,375.00] c2=[-30.27,-27.73] c3=[160.90,5625.30]; col1/col2 outside lon/lat bounds	312.603 -27.73034 178.6 | 312.603 -27.73194 179.3 | 312.604 -27.72874 178.7 | 312.604 -27.73034 178.9 | 312.604 -27.73194 180.0	False	unknown_or_non_bathymetry							MR03-K04		unknown_or_survey	auxiliary_grid	False	used_for_points_false	5096	True
MR03-K04_leg1_bathymetry_dmo::track_i03.dat	MR03-K04_leg1_bathymetry_dmo	MR03-K04_leg1_bathymetry_dmo/track_i03.dat	track_i03.dat	.dat	237265	6779.0	4.0	True	False	0.0	6851.9	-22.226	-19.975	48.914	113.76	positive	invalid_lonlat_range	col_range: c1=[0.00,6851.90] c2=[-22.23,-19.98] c3=[48.91,113.76]; col1/col2 outside lon/lat bounds	    0.0  -20.004   48.914   233.5 | 1.0  -20.005   48.924   372.2 | 2.0  -20.005   48.933   483.4 | 3.0  -20.006   48.943   594.2 | 4.0  -20.006   48.952   672.3	False	unknown_or_non_bathymetry							MR03-K04		unknown_or_survey	auxiliary_track	False	used_for_points_false	5104	True
MR03-K04_leg1_bathymetry_dmo::grid_i03.dat	MR03-K04_leg1_bathymetry_dmo	MR03-K04_leg1_bathymetry_dmo/grid_i03.dat	grid_i03.dat	.dat	66307556	2368127.0	3.0	True	False	48.91144	113.76225	-22.2359	-19.8376	138.9	6622.9	positive	ok_xyz_3col		  48.91144 -20.00729  266.2 | 48.91144 -20.00899  289.0 | 48.91324 -20.00390  230.5 | 48.91324 -20.00559  243.3 | 48.91324 -20.00729  255.2	True	lon_lat_depth_3col	0.0	1.0	2.0				MR03-K04		unknown_or_survey	auxiliary_grid	False	auxiliary_grid	5097	True
MR03-K04_leg1_bathymetry_dmo::track_a10.dat	MR03-K04_leg1_bathymetry_dmo	MR03-K04_leg1_bathymetry_dmo/track_a10.dat	track_a10.dat	.dat	214235	6121.0	4.0	True	False	0.0	6136.9	-30.216	-27.732	-47.39	15.003	mixed	invalid_lonlat_range	col_range: c1=[0.00,6136.90] c2=[-30.22,-27.73] c3=[-47.39,15.00]; col1/col2 outside lon/lat bounds	    0.0  -27.732  -47.390   181.6 | 1.0  -27.734  -47.380   185.7 | 2.0  -27.736  -47.370   190.5 | 3.0  -27.738  -47.360   195.4 | 4.0  -27.740  -47.350   201.0	False	unknown_or_non_bathymetry							MR03-K04		unknown_or_survey	auxiliary_track	False	used_for_points_false	5103	True
MR07-05_bathymetry_dmo::20070906.dat	MR07-05_bathymetry_dmo	MR07-05_bathymetry_dmo/20070906.dat	20070906.dat	.dat	23303544	706168.0	3.0	True	False	-180.019997	179.87766	55.775497	57.052653	3670.1	3949.9	positive	invalid_lonlat_range	col_range: c1=[-180.02,179.88] c2=[55.78,57.05] c3=[3670.10,3949.90]; col1/col2 outside lon/lat bounds	-177.127725  55.775497  3743.100 | -177.127108  55.777180  3747.800 | -177.126582  55.778610  3747.900 | -177.126050  55.780057  3750.000 | -177.125475  55.781623  3752.500	False	unknown_or_non_bathymetry							MR07-05	20070906	unknown_or_survey	nonstandard_or_invalid	False	used_for_points_false	2525	False
MR07-04_bathymetry_pi::grid_p14.dat	MR07-04_bathymetry_pi	MR07-04_bathymetry_pi/grid_p14.dat	grid_p14.dat	.dat	54548624	2098024.0	3.0	True	False	-35.6375	59.0025	175.0275	186.01	124.5	7464.2	positive	invalid_lonlat_range	col_range: c1=[-35.64,59.00] c2=[175.03,186.01] c3=[124.50,7464.20]; col1/col2 outside lon/lat bounds	-35.6375 175.0350   222.9 | -35.6350 175.0275   219.1 | -35.6350 175.0300   221.3 | -35.6350 175.0325   223.8 | -35.6350 175.0350   224.2	False	unknown_or_non_bathymetry							MR07-04		unknown_or_survey	auxiliary_grid	False	used_for_points_false	5102	True
